Name,SubDiv
Bains-sur-Oust,35
Bainville-aux-Miroirs,54
Bais,53
Bais,35
Baisieux,59
Baixas,66
Baizieux,80
Bajonnette,32
Baladou,46
Balagny-sur-Thérain,60
Balan,1
Balanod,39
Balaruc-les-Bains,34
Balbigny,42
Balbronn,67
Baldenheim,67
Baldersheim,68
Baleycourt,55
Baleyssagues,47
Balham,8
Balizac,33
Ballainvilliers,91
Ballaison,74
Ballancourt-sur-Essonne,91
Ballan-Miré,37
Ballée,53
Balleroy,14
Ballons,26
Balloy,77
Balma,31
Balnot-sur-Laignes,10
Balschwiller,68
Balsièges,48
Balzac,16
Banassac,48
Bancourt,62
Ban-de-Laveline,88
Bandol,83
Baneuil,24
Bangor,56
Bannalec,29
Bannay,18
Bannes,53
Banneville-sur-Ajon,14
Bannost-Villegagnon,77
Banteux,59
Bantouzelle,59
Bantzenheim,68
Banyuls-sur-Mer,66
Baons-le-Comte,76
Bapaume,62
Bapeaume,76
Baracé,49
Baraqueville,12
Baratier,5
Barbaggio,2B
Barbâtre,85
Barbazan-Debat,65
Barbechat,44
Barbentane,13
Barberaz,73
Barberey-Saint-Sulpice,10
Barbery,60
Barbezières,16
Barbezieux-Saint-Hilaire,16
Barbières,26
Barbonne-Fayel,51
Barby,73
Barcelonnette,4
Barembach,67
Barentin,76
Barenton,50
Barenton-Bugny,2
Barfleur,50
Barges,21
Barguelonne-en-Quercy,46
Barisey-la-Côte,54
Barjols,83
Barjouville,28
Bar-le-Duc,55
Barleux,80
Barlin,62
Barnay,71
Barneville-Carteret,50
Baron,30
Baron,33
Baronville,57
Baroville,10
Barr,67
Barraux,38
Barret,16
Barrou,37
Barsac,33
Barsac,26
Bar-sur-Aube,10
Bar-sur-Seine,10
Bart,25
Bartenheim,68
Barville,27
Barville-en-Gâtinais,45
Barzy-sur-Marne,2
Bas-en-Basset,43
Baslieux-sous-Châtillon,51
Basly,14
Bas-Mauco,40
Bassac,16
Bassan,34
Basse-Goulaine,44
Basse-Ham,57
Bassemberg,67
Bassens,33
Bassens,73
Basse-Terre = GP BBR,
Bassevelle,77
Bassing,57
Bassoues,32
Bassuet,51
Bassussarry,64
Bastia,2B
Batilly,54
Batilly-en-Gâtinais,45
Batz-sur-Mer,44
Baud,56
Baudignécourt,55
Baudoncourt,70
Baudreville,28
Baudricourt,88
Baudrières,71
Baugé,49
Baugy,18
Baule,45
Baulme-la-Roche,21
Baulne,91
Baulon,35
Baume-les-Dames,25
Baupte,50
Baurech,33
Bauvin,59
Bavans,25
Bavay,59
Bavent,14
Bavilliers,90
Bavinchove,59
Bax,31
Bayard-sur-Marne,52
Bayas,33
Baye,51
Bayel,10
Bayet,3
Bayeux,14
Bayon,54
Bayonne,64
Bayon-sur-Gironde,33
Bayonville-sur-Mad,54
Bazaiges,36
Bazainville,78
Bazancourt,60
Bazancourt,51
Bazas,33
Bazeilles,8
Bazemont,78
Bazens,47
Bazet,65
Bazian,32
Baziège,31
Bazoches,58
Bazoches-les-Gallerandes,45
Bazoches-sur-Guyonne,78
Bazoches-sur-le-Betz,45
Bazoges-en-Paillers,85
Bazoges-en-Pareds,85
Bazoilles-sur-Meuse,88
Bazoques,27
Bazougers,53
Bazouges-la-Pérouse,35
Bazouges-sur-le-Loir,72
Bazuel,59
Béard-Géovreissiat,1
Beaucaire,30
Beaucaire,32
Beaucamps-le-Vieux,80
Beaucamps-Ligny,59
Beaucé,35
Beauchalot,31
Beauchamp,95
Beauchamps,80
Beauchastel,7
Beauclair,55
Beaucourt,90
Beaucouzé,49
Beaufort,34
Beaufort,59
Beaufort,39
Beaufort-en-Santerre,80
Beaufort-en-Vallée,49
Beaugency,45
Beaujeu,4
Beaujeu,69
Beaulieu,38
Beaulieu-lès-Loches,37
Beaulieu-sous-Bressuire,79
Beaulieu-sous-la-Roche,85
Beaulieu-sur-Dordogne,19
Beaulieu-sur-Layon,49
Beaulieu-sur-Loire,45
Beaulieu-sur-Mer,6
Beaumes-de-Venise,84
Beaumettes,84
Beaumont,54
Beaumont,86
Beaumont,63
Beaumont-de-Lomagne,82
Beaumont-de-Pertuis,84
Beaumont-du-Gâtinais,77
Beaumont-du-Ventoux,84
Beaumont-en-Véron,37
Beaumont-la-Ferrière,58
Beaumont-la-Ronce,37
Beaumont-le-Roger,27
Beaumont-lès-Randan,63
Beaumont-lès-Valence,26
Beaumont-Monteux,26
Beaumont-Pied-de-Buf,72
Beaumont-Pied-de-Buf,53
Beaumont-sur-Lèze,31
Beaumont-sur-Oise,95
Beaumont-sur-Sarthe,72
Beaumont-Village,37
Beaumotte-lès-Pin,70
Beaunay,51
Beaune,21
Beaune-la-Rolande,45
Beaune-sur-Arzon,43
Beaupréau,49
Beaupuy,31
Beaurains,62
Beaurainville,62
Beauregard-Vendon,63
Beaurepaire,38
Beaurepaire,85
Beaurepaire-en-Bresse,71
Beaurevoir,2
Beaurieux,2
Beausemblant,26
Beausite,55
Beausoleil,6
Beauteville,31
Beautiran,33
Beautor,2
Beautot,76
Beauvais,60
Beauvais-sur-Matha,17
Beauval,80
Beauvoir-de-Marc,38
Beauvoir-en-Lyons,76
Beauvoir-en-Royans,38
Beauvoir-sur-Mer,85
Beauvois,62
Beauvois-en-Cambrésis,59
Beauvoisin,30
Beauvoisin,39
Beauvoisin,30
Beauzac,43
Beauzelle,31
Bébing,57
Beblenheim,68
Bécon-les-Granits,49
Bédarieux,34
Bédarrides,84
Beddes,18
Bédée,35
Bedenac,17
Bédoin,84
Bedous,64
Béduer,46
Bégaar,40
Bégadan,33
Begard,22
Bègles,33
Bégrolles-en-Mauges,49
Béguey,33
Béhagnies,62
Béhen,80
Behobie,64
Behren-lès-Forbach,57
Beignon,56
Beillé,72
Beine,89
Beine-Nauroy,51
Beinheim,67
Beire-le-Châtel,21
Bélâbre,36
Belan-sur-Ource,21
Bélarga,34
Belberaud,31
Belbeuf,76
Bélesta,66
Bélesta,9
Bélesta-en-Lauragais,31
Belfort,90
Belfort-du-Quercy,46
Béligneux,1
Belin-Béliet,33
Bellac,87
Belleau,2
Bellebat,33
Bellechaume,89
Bellefontaine,39
Bellefont-La Rauze,46
Bellegarde,81
Bellegarde,30
Bellegarde-Poussieu,38
Bellegarde-sur-Valserine,1
Belleherbe,25
Belle-Isle-en-Terre,22
Bellême,61
Belleneuve,21
Bellenglise,2
Bellengreville,14
Bellenot-sous-Pouilly,21
Bellentre,73
Bellerive-sur-Allier,3
Belleroche,42
Bellevigne-en-Layon,49
Bellevigny,85
Belleville,54
Belleville,79
Belleville/Paris,75C
Belleville-en-Beaujolais,69
Belleville-sur-Mer,76
Belleville-sur-Meuse,55
Belleville-sur-Vie,85
Bellevue,77
Belley,1
Bellignat,1
Belligné,44
Bellocq,64
Bellot,77
Bellou-en-Houlme,61
Bellou-sur-Huisne,61
Belloy,60
Belloy-en-France,95
Belmont-de-la-Loire,42
Belmontet,46
Belmont-sur-Rance,12
Belmont-Tramonet,73
Belpech,11
Belval,50
Belval-sous-Châtillon,51
Belvès,24
Belvès-de-Castillon,33
Belvèze,82
Belvèze-du-Razès,11
Belvézet,30
Belz,56
Benais,37
Bénesse-Maremne,40
Benest,16
Bénestroff,57
Benet,85
Bénévent-l'Abbaye,23
Benfeld,67
Bengy-sur-Craon,18
Bénifontaine,62
Béning-lès-Saint-Avold,57
Bennecourt,78
Bennwihr,68
Bénodet,29
Benoîtville,50
Bénouville,76
Béraut,32
Bercenay-en-Othe,10
Berchères-les-Pierres,28
Berchères-Saint-Germain,28
Berck-Sur-Mer,62
Bercloux,17
Bercy,75C
Berdoues,32
Bérenx,64
Béréziat,1
Bergbieten,67
Bergerac,24
Bergères-lès-Vertus,51
Bergères-sous-Montmirail,51
Bergheim,68
Bergholtz,68
Berg-sur-Moselle,57
Bergueneuse,62
Bergues,59
Berguette,62
Bérigny,50
Berlaimont,59
Berlou,34
Bermerain,59
Berméricourt,51
Bermering,57
Bernac-Debat,65
Bernac-Dessus,65
Bernardswiller,67
Bernardvillé,67
Bernaville,80
Bernay,72
Bernay,27
Bernes-sur-Oise,95
Berneuil,87
Berneuil,16
Berneuil-en-Bray,60
Berneuil-sur-Aisne,60
Berneville,62
Bernières,76
Bernières-sur-Mer,14
Bernin,38
Bernis,30
Bernon,10
Bernos-Beaulac,33
Bernouil,89
Bernouville,27
Berny-en-Santerre,80
Bérou-la-Mulotière,28
Berre-l'Étang,13
Berric,56
Berrie,86
Berru,51
Berrwiller,68
Berry-Bouy,18
Bersac-sur-Rivalier,87
Bersaillin,39
Bersée,59
Berson,33
Berstett,67
Bertangles,80
Berteaucourt-les-Dames,80
Berthecourt,60
Berthegon,86
Berthelange,25
Berthelming,57
Bertholène,12
Berthouville,27
Bertrange,57
Bertrichamps,54
Bertrimont,76
Bertry,59
Béru,89
Bérulle,10
Bérus,72
Berville-sur-Mer,27
Berville-sur-Seine,76
Berzé-la-Ville,71
Besançon,25
Bésayes,26
Besné,44
Bessan,34
Bessancourt,95
Bessay-sur-Allier,3
Bessenay,69
Bessens,82
Bessé-sur-Braye,72
Besse-sur-Issole,83
Bessey,42
Bessières,31
Bessines,79
Bessines-sur-Gartempe,87
Besson,3
Bessoncourt,90
Bétaille,46
Betbezer-d'Armagnac,40
Béthencourt,59
Béthencourt-sur-Mer,80
Bétheniville,51
Bétheny,51
Béthisy-Saint-Pierre,60
Bethon,51
Bethoncourt,25
Bethonvilliers,90
Béthune,62
Beton-Bazoches,77
Betschdorf,67
Bettancourt-la-Ferrée,52
Bettborn,57
Bettignies,59
Betting-Ies-Saint-Avold,57
Betton,35
Betz,60
Betz-le-Château,37
Beulin,53
Beure,25
Beutin,62
Beuvillers,14
Beuvrages,59
Beuvraignes,80
Beuvry,62
Beuvry-la-Forêt,59
Beuzeville,27
Bévenais,38
Beveuge,70
Béville-le-Comte,28
Bevons,4
Bey,71
Beychac-et-Caillau,33
Beynac-et-Cazenac,24
Beynes,78
Beynost,1
Beyrède-Jumet,65
Bezannes,51
Bézéril,32
Béziers,34
Bezons,95
Bezouce,30
Bézouotte,21
Bézu-le-Guéry,2
Bézu-Saint-Éloi,27
Bézu-Saint-Germain,2
Biaches,80
Biache-Saint-Vaast,62
Biard,86
Biarritz,64
Biars-sur-Cère,46
Bias,47
Bias,40
Biblisheim,67
Biches,58
Bidache,64
Bidart,64
Bidos,64
Bief-des-Maisons,39
Bienville,60
Bienvillers-au-Bois,62
Bierne,59
Bierry-les-Belles-Fontaines,89
Biesheim,68
Biesles,52
Bieujac,33
Biéville-Beuville,14
Bièvres,91
Biganos,33
Bignan,56
Biguglia,2B
Bihorel,76
Bilieu,38
Billère,64
Billom,63
Billy,14
Billy,3
Billy-Berclau,62
Billy-le-Grand,51
Billy-Montigny,62
Billy-sur-Aisne,2
Bindernheim,67
Binic,22
Bio,46
Biol,38
Biot,6
Birac-sur-Trec,47
Biron,64
Biscarrosse,40
Bischheim,67
Bischoffsheim,67
Bischtroff-sur-Sarre,67
Bischwiller,67
Bissert,67
Bissey-sous-Cruchaud,71
Bissy-sous-Uxelles,TW
Bitche,57
Bitschwiller-lès-Thann,68
Biviers,38
Biville-la-Baignarde,76
Biville-la-Rivière,76
Bivilliers,61
Bizanet,11
Bizanos,64
Bize,65
Bize-Minervois,11
Bizonnes,38
Blacé,69
Blacourt,60
Blacqueville,76
Blagnac,31
Blagny,8
Blagny-sur-Vingeanne,21
Blaignan,33
Blain,44
Blainville-Crevon,76
Blainville-sur-l'Eau,54
Blainville-sur-Mer,50
Blainville-sur-Orne,14
Blairville,62
Blaison-Gohier,49
Blaisy-Bas,21
Blajan,31
Blan,81
Blancafort,18
Blandy,77
Blangy-le-Château,14
Blangy-sur-Bresle,76
Blanot,71
Blanquefort,32
Blanquefort,33
Blanzac-lès-Matha,17
Blanzac-Porcheresse,16
Blanzat,63
Blanzy,71
Blaringhem,59
Blasimon,33
Blauvac,84
Blauzac,12
Blavignac,48
Blavozy,43
Blaye,33
Blaye-les-Mines,81
Bleigny-le-Carreau,89
Blendecques,62
Bléneau,89
Blénod-lès-Pont-à-Mousson,54
Blénod-lès-Toul,54
Blérancourt,2
Bléré,37
Blesme,51
Bletterans,39
Bleurville,88
Blienschwiller,67
Bliesbruck,57
Blignicourt,10
Bligny,10
Bligny-lès-Beaune,21
Bligny-sur-Ouche,21
Blodelsheim,68
Blois,41
Blomac,11
Blonville-sur-Mer,14
Blot-l'Église,63
Blotzheim,68
Blyes,1
Bobigny,93
Bocquegney,88
Boé,47
Boëge,74
Boën-sur-Lignon,42
Boeschepe,59
Boëssé-le-Sec,72
Bogny-sur-Meuse,8
Bogy,7
Bohain-en-Vermandois,2
Bohal,56
Bohas-Meyriat-Rignat,1
Boigny-sur-Bionne,45
Boinville-le-Gaillard,78
Boiry-Sainte-Rictrude,62
Bois-Arnault,27
Boisbreteau,16
Bois-Colombes,92
Boiscommun,45
Bois-d'Amont,39
Bois-d'Arcy,78
